"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"SCL_D_51","numeric",564,0.423312883435583,6,1.16666666666667,1,1,NA,0.526952654475909,NA,1,5,4,4.08622514809688,19.8612616659506,20.0110268117001,48.7172832447817,NA,NA
"SCL_E_51","numeric",555,0.432515337423313,5,1.18198198198198,1,1,NA,0.496594576047668,NA,1,4,3,3.1642960074643,15.2576331767924,11.0640181403475,26.7217086082815,NA,NA
"SCL_G_51","numeric",603,0.383435582822086,6,1.17578772802653,1,1,NA,0.504739169556281,NA,1,5,4,3.53171673976969,17.7466080937365,14.7437778878368,37.1038502726108,NA,NA
"SCL_A_54","numeric",842,0.139059304703476,5,1.13064133016627,1,1,NA,0.401586410728081,NA,1,5,4,3.64863262161975,21.649718661367,17.0871805211321,50.754368983548,NA,NA
"SCL_B_54","numeric",821,0.160531697341513,5,1.14494518879415,1,1,NA,0.42448178238581,NA,1,4,3,3.31641964527993,19.4324168908036,12.3543998690536,36.2387190972746,NA,NA
"SCL_C_54","numeric",747,0.236196319018405,5,1.17804551539491,1,1,NA,0.487539022226599,NA,1,4,3,2.95808960662397,16.5361939357847,8.85073993344062,24.7713109538547,NA,NA
"SCL_D_54","numeric",564,0.423312883435583,6,1.22163120567376,1,1,NA,0.594970183426508,NA,1,5,4,3.62289992378585,17.6092507798735,16.0365074606393,39.0412287969267,NA,NA
"SCL_E_54","numeric",555,0.432515337423313,6,1.20540540540541,1,1,NA,0.577220690240299,NA,1,5,4,3.55493843459729,17.1412366204738,14.7974325989619,35.7386147640324,NA,NA
"SCL_G_54","numeric",604,0.38241308793456,6,1.23509933774834,1,1,NA,0.615736011523438,NA,1,5,4,3.25466319174162,16.3679234253184,11.9826749725203,30.1801125360569,NA,NA
"SCL_A_59","numeric",842,0.139059304703476,6,1.24346793349169,1,1,NA,0.524193592364601,NA,1,5,4,2.67201042633843,15.8547817743255,9.83953628695526,29.2265569920983,NA,NA
"SCL_B_59","numeric",820,0.161554192229039,4,1.0780487804878,1,1,NA,0.306631782632869,NA,1,3,2,4.2121669154193,24.6660281444475,18.5292004385503,54.3181295812025,NA,NA
"SCL_C_59","numeric",747,0.236196319018405,4,1.07496653279786,1,1,NA,0.310240489099725,NA,1,3,2,4.46240326374205,24.9455478372524,20.6566891219091,57.8136148349128,NA,NA
"SCL_D_59","numeric",563,0.424335378323108,6,1.14742451154529,1,1,NA,0.467376576170945,NA,1,5,4,3.91274908374299,19.0012958759424,18.3703952577953,44.6838102346381,NA,NA
"SCL_E_59","numeric",555,0.432515337423313,6,1.11891891891892,1,1,NA,0.441835994188525,NA,1,5,4,4.93996100967605,23.8195519052256,30.1999780461601,72.9386921721589,NA,NA
"SCL_G_59","numeric",604,0.38241308793456,5,1.14403973509934,1,1,NA,0.482648413398218,NA,1,4,3,3.89483640692281,19.5873982366025,16.2474868653959,40.9216625795382,NA,NA
"SCL_A_79","numeric",841,0.140081799591002,4,1.03923900118906,1,1,NA,0.206170043551552,NA,1,3,2,5.52857578411774,32.785231517441,32.7177485798862,97.1247479623221,NA,NA
"SCL_B_79","numeric",818,0.16359918200409,4,1.04889975550122,1,1,NA,0.232184057797185,NA,1,3,2,5.02431522099947,29.3861158694224,26.9925853269103,79.0324668669512,NA,NA
"SCL_C_79","numeric",746,0.23721881390593,5,1.05898123324397,1,1,NA,0.282379215105939,NA,1,4,3,5.91381882723871,33.0371459638223,42.8163547112692,119.754030365514,NA,NA
"SCL_D_79","numeric",567,0.420245398773006,5,1.09700176366843,1,1,NA,0.393554300738021,NA,1,5,4,5.52550012673083,26.9278727854954,39.4866706649151,96.3842691357765,NA,NA
"SCL_E_79","numeric",557,0.430470347648262,5,1.1113105924596,1,1,NA,0.409198952656558,NA,1,4,3,4.24854255534969,20.5223439966602,19.8471583153525,48.0201899331819,NA,NA
"SCL_G_79","numeric",602,0.384458077709611,6,1.13787375415282,1,1,NA,0.485319385387058,NA,1,5,4,4.25596118158013,21.3682287501914,20.3290660325923,51.1175654397855,NA,NA
